country,year,ctr_year,ctr_name,life_threat,physical_health,mental_health,rape,fetal_impairment,economic,request,index
1,1960,11960,Afghanistan,,,,,,,,
1,1961,11961,Afghanistan,,,,,,,,
1,1962,11962,Afghanistan,,,,,,,,
1,1963,11963,Afghanistan,,,,,,,,
1,1964,11964,Afghanistan,,,,,,,,
1,1965,11965,Afghanistan,,,,,,,,
1,1966,11966,Afghanistan,,,,,,,,
1,1967,11967,Afghanistan,,,,,,,,
1,1968,11968,Afghanistan,,,,,,,,
1,1969,11969,Afghanistan,,,,,,,,
1,1970,11970,Afghanistan,,,,,,,,
1,1971,11971,Afghanistan,,,,,,,,
1,1972,11972,Afghanistan,,,,,,,,
1,1973,11973,Afghanistan,,,,,,,,
1,1974,11974,Afghanistan,,,,,,,,
1,1975,11975,Afghanistan,,,,,,,,
1,1976,11976,Afghanistan,1,0,0,0,0,0,0,
1,1977,11977,Afghanistan,1,0,0,0,0,0,0,
1,1978,11978,Afghanistan,1,0,0,0,0,0,0,
1,1979,11979,Afghanistan,1,0,0,0,0,0,0,
1,1980,11980,Afghanistan,1,0,0,0,0,0,0,
1,1981,11981,Afghanistan,1,0,0,0,0,0,0,
1,1982,11982,Afghanistan,1,0,0,0,0,0,0,
1,1983,11983,Afghanistan,1,0,0,0,0,0,0,
1,1984,11984,Afghanistan,1,0,0,0,0,0,0,
1,1985,11985,Afghanistan,1,0,0,0,0,0,0,
1,1986,11986,Afghanistan,1,0,0,0,0,0,0,
1,1987,11987,Afghanistan,1,0,0,0,0,0,0,
1,1988,11988,Afghanistan,1,0,0,0,0,0,0,
1,1989,11989,Afghanistan,1,0,0,0,0,0,0,
1,1990,11990,Afghanistan,1,0,0,0,0,0,0,
1,1991,11991,Afghanistan,1,0,0,0,0,0,0,
1,1992,11992,Afghanistan,1,0,0,0,0,0,0,
1,1993,11993,Afghanistan,1,0,0,0,0,0,0,
1,1994,11994,Afghanistan,1,0,0,0,0,0,0,
1,1995,11995,Afghanistan,1,0,0,0,0,0,0,
1,1996,11996,Afghanistan,1,0,0,0,0,0,0,
1,1997,11997,Afghanistan,1,0,0,0,0,0,0,
1,1998,11998,Afghanistan,1,0,0,0,0,0,0,
1,1999,11999,Afghanistan,1,0,0,0,0,0,0,
1,2000,12000,Afghanistan,1,0,0,0,0,0,0,
1,2001,12001,Afghanistan,1,0,0,0,0,0,0,
1,2002,12002,Afghanistan,1,0,0,0,0,0,0,
1,2003,12003,Afghanistan,1,0,0,0,0,0,0,
1,2004,12004,Afghanistan,1,0,0,0,0,0,0,
1,2005,12005,Afghanistan,1,0,0,0,0,0,0,
1,2006,12006,Afghanistan,1,0,0,0,0,0,0,
2,1960,21960,Albania,1,1,0,0,0,0,0,
2,1961,21961,Albania,1,1,0,0,0,0,0,
2,1962,21962,Albania,1,1,0,0,0,0,0,
2,1963,21963,Albania,1,1,0,0,0,0,0,
2,1964,21964,Albania,1,1,0,0,0,0,0,
2,1965,21965,Albania,1,1,0,0,0,0,0,
2,1966,21966,Albania,1,1,0,0,0,0,0,
2,1967,21967,Albania,1,1,0,0,0,0,0,
2,1968,21968,Albania,1,1,0,0,0,0,0,
2,1969,21969,Albania,1,1,0,0,0,0,0,
2,1970,21970,Albania,1,1,0,0,0,0,0,
2,1971,21971,Albania,1,1,0,0,0,0,0,
2,1972,21972,Albania,1,1,0,0,0,0,0,
2,1973,21973,Albania,1,1,0,0,0,0,0,
2,1974,21974,Albania,1,1,0,0,0,0,0,
2,1975,21975,Albania,1,1,0,0,0,0,0,
2,1976,21976,Albania,1,1,0,0,0,0,0,
2,1977,21977,Albania,1,1,0,0,0,0,0,
2,1978,21978,Albania,1,1,0,0,0,0,0,
2,1979,21979,Albania,1,1,0,0,0,0,0,
2,1980,21980,Albania,1,1,0,0,0,0,0,
2,1981,21981,Albania,1,1,0,0,0,0,0,
2,1982,21982,Albania,1,1,0,0,0,0,0,
2,1983,21983,Albania,1,1,0,0,0,0,0,
2,1984,21984,Albania,1,1,0,0,0,0,0,
2,1985,21985,Albania,1,1,0,0,0,0,0,
2,1986,21986,Albania,1,1,0,0,0,0,0,
2,1987,21987,Albania,1,1,0,0,0,0,0,
2,1988,21988,Albania,1,1,0,0,0,0,0,
2,1989,21989,Albania,1,1,0,1,0,0,0,
2,1990,21990,Albania,1,1,0,1,0,0,0,
2,1991,21991,Albania,1,1,1,1,1,1,0,
2,1992,21992,Albania,1,1,1,1,1,1,1,
2,1993,21993,Albania,1,1,1,1,1,1,1,
2,1994,21994,Albania,1,1,1,1,1,1,1,
2,1995,21995,Albania,1,1,1,1,1,1,1,
2,1996,21996,Albania,1,1,1,1,1,1,1,
2,1997,21997,Albania,1,1,1,1,1,1,1,
2,1998,21998,Albania,1,1,1,1,1,1,1,
2,1999,21999,Albania,1,1,1,1,1,1,1,
2,2000,22000,Albania,1,1,0,0,0,0,0,
2,2001,22001,Albania,1,1,0,0,0,0,0,
2,2002,22002,Albania,1,1,0,0,0,0,0,
2,2003,22003,Albania,1,1,0,0,0,0,0,
2,2004,22004,Albania,1,1,0,0,0,0,0,
2,2005,22005,Albania,1,1,0,0,0,0,0,
2,2006,22006,Albania,1,1,0,0,0,0,0,
3,1960,31960,Algeria,1,1,0,0,0,0,0,
3,1961,31961,Algeria,1,1,0,0,0,0,0,
3,1962,31962,Algeria,1,1,0,0,0,0,0,
3,1963,31963,Algeria,1,1,0,0,0,0,0,
3,1964,31964,Algeria,1,1,0,0,0,0,0,
3,1965,31965,Algeria,1,1,0,0,0,0,0,
3,1966,31966,Algeria,1,1,1,0,0,0,0,
3,1967,31967,Algeria,1,1,1,0,0,0,0,
3,1968,31968,Algeria,1,1,1,0,0,0,0,
3,1969,31969,Algeria,1,1,1,0,0,0,0,
3,1970,31970,Algeria,1,1,1,0,0,0,0,
3,1971,31971,Algeria,1,1,1,0,0,0,0,
3,1972,31972,Algeria,1,1,1,0,0,0,0,
3,1973,31973,Algeria,1,1,1,0,0,0,0,
3,1974,31974,Algeria,1,1,1,0,0,0,0,
3,1975,31975,Algeria,1,1,1,0,0,0,0,
3,1976,31976,Algeria,1,1,1,0,0,0,0,
3,1977,31977,Algeria,1,1,1,0,0,0,0,
3,1978,31978,Algeria,1,1,1,0,0,0,0,
3,1979,31979,Algeria,1,1,1,0,0,0,0,
3,1980,31980,Algeria,1,1,1,0,0,0,0,
3,1981,31981,Algeria,1,1,1,0,0,0,0,
3,1982,31982,Algeria,1,1,1,0,0,0,0,
3,1983,31983,Algeria,1,1,1,0,0,0,0,
3,1984,31984,Algeria,1,1,1,0,0,0,0,
3,1985,31985,Algeria,1,1,1,0,0,0,0,
3,1986,31986,Algeria,1,1,1,0,0,0,0,
3,1987,31987,Algeria,1,1,1,0,0,0,0,
